nome_norm,uf,lat,lon,nome
labrea,AM,-8.1289,-66.1643,Lábrea
manacapuru,AM,-3.2672,-61.0112,Manacapuru
manaquiri,AM,-3.7922,-60.6772,Manaquiri
manaus,AM,-2.6895,-60.1636,Manaus
manicore,AM,-6.9833,-61.5206,Manicoré
maraa,AM,-2.67,-64.786,Maraã
maues,AM,-5.0496,-58.3572,Maués
nhamunda,AM,-1.3703,-57.8683,Nhamundá
nova olinda do norte,AM,-3.9743,-58.5877,Nova Olinda Do Norte
novo airao,AM,-1.9584,-61.7462,Novo Airão
novo aripuana,AM,-6.9933,-60.5499,Novo Aripuanã
parintins,AM,-2.6264,-56.8943,Parintins
pauini,AM,-7.6856,-67.89,Pauini
presidente figueiredo,AM,-1.2021,-59.9942,Presidente Figueiredo
rio preto da eva,AM,-2.5184,-59.607,Rio Preto Da Eva
santa isabel do rio negro,AM,-0.2358,-65.4898,Santa Isabel Do Rio Negro
santo antonio do ica,AM,-3.1103,-68.7516,Santo Antônio Do Içá
sao gabriel da cachoeira,AM,0.2819,-68.0117,São Gabriel Da Cachoeira
sao paulo de olivenca,AM,-4.4507,-69.4828,São Paulo De Olivença
sao sebastiao do uatuma,AM,-1.9231,-58.7433,São Sebastião Do Uatumã
silves,AM,-2.7865,-58.6305,Silves
tabatinga,AM,-3.9488,-69.5731,Tabatinga
tapaua,AM,-6.3021,-65.973,Tapauá
tefe,AM,-4.5294,-65.5937,Tefé
tonantins,AM,-2.6419,-67.7672,Tonantins
uarini,AM,-3.1493,-65.4101,Uarini
urucara,AM,-1.1722,-58.8476,Urucará
urucurituba,AM,-2.8361,-57.7507,Urucurituba
amajari,RR,3.821,-62.6644,Amajari
alto alegre,RR,3.0324,-62.7602,Alto Alegre
boa vista,RR,3.1332,-60.6293,Boa Vista
bonfim,RR,2.8152,-60.0254,Bonfim
canta,RR,2.225,-60.4871,Cantá
caracarai,RR,0.6725,-61.2231,Caracaraí
caroebe,RR,1.1726,-59.4786,Caroebe
iracema,RR,2.3318,-62.7634,Iracema
mucajai,RR,2.5471,-61.9433,Mucajaí
normandia,RR,3.8939,-60.048,Normandia
pacaraima,RR,4.1628,-60.8058,Pacaraima
rorainopolis,RR,-0.0477,-60.9078,Rorainópolis
sao joao da baliza,RR,0.7528,-59.861,São João Da Baliza
sao luiz,RR,0.861,-60.1747,São Luiz
uiramuta,RR,4.6584,-60.2571,Uiramutã
abaetetuba,PA,-1.748,-48.9492,Abaetetuba
abel figueiredo,PA,-4.9508,-48.4456,Abel Figueiredo
acara,PA,-2.1069,-48.4698,Acará
afua,PA,-0.4,-50.7237,Afuá
agua azul do norte,PA,-6.653,-50.5315,Água Azul Do Norte
alenquer,PA,-0.8611,-54.8517,Alenquer
almeirim,PA,0.5636,-53.9485,Almeirim
altamira,PA,-6.0051,-53.7696,Altamira
anajas,PA,-0.838,-50.0365,Anajás
ananindeua,PA,-1.3355,-48.3748,Ananindeua
anapu,PA,-3.9424,-51.3287,Anapu
augusto correa,PA,-0.9871,-46.4698,Augusto Corrêa
aurora do para,PA,-2.2994,-47.7758,Aurora Do Pará
aveiro,PA,-3.8747,-55.9464,Aveiro
bagre,PA,-2.4024,-50.1446,Bagre
baiao,PA,-3.2015,-49.7187,Baião
bannach,PA,-7.4723,-50.6025,Bannach
barcarena,PA,-1.565,-48.6297,Barcarena
belem,PA,-1.3275,-48.4104,Belém
belterra,PA,-3.449,-55.0434,Belterra
benevides,PA,-1.3399,-48.2866,Benevides
bom jesus do tocantins,PA,-4.9827,-48.8058,Bom Jesus Do Tocantins
bonito,PA,-1.409,-47.3035,Bonito
braganca,PA,-1.0009,-46.7515,Bragança
brasil novo,PA,-3.3914,-52.7173,Brasil Novo
brejo grande do araguaia,PA,-5.7484,-48.4222,Brejo Grande Do Araguaia
breu branco,PA,-3.7582,-49.2053,Breu Branco
breves,PA,-1.1731,-50.504,Breves
bujaru,PA,-1.6251,-48.0735,Bujaru
cachoeira do piria,PA,-1.977,-46.4396,Cachoeira Do Piriá
cachoeira do arari,PA,-0.8176,-48.9427,Cachoeira Do Arari
cameta,PA,-2.2994,-49.5184,Cametá
canaa dos carajas,PA,-6.4925,-50.1083,Canaã Dos Carajás
capanema,PA,-1.1305,-47.1064,Capanema
capitao poco,PA,-1.985,-47.1894,Capitão Poço
castanhal,PA,-1.2851,-47.8592,Castanhal
chaves,PA,0.0024,-49.5276,Chaves
colares,PA,-0.9153,-48.2349,Colares
conceicao do araguaia,PA,-8.1065,-49.5333,Conceição Do Araguaia
concordia do para,PA,-1.8615,-47.9588,Concórdia Do Pará
cumaru do norte,PA,-8.4439,-51.1805,Cumaru Do Norte
curionopolis,PA,-6.1781,-49.6681,Curionópolis
curralinho,PA,-1.5458,-50.0075,Curralinho
curua,PA,-1.8206,-55.0944,Curuá
curuca,PA,-0.6602,-47.8716,Curuçá
dom eliseu,PA,-4.089,-47.8589,Dom Eliseu
eldorado do carajas,PA,-6.0845,-49.3559,Eldorado Do Carajás
faro,PA,-1.1489,-57.8045,Faro
floresta do araguaia,PA,-7.5343,-49.485,Floresta Do Araguaia
garrafao do norte,PA,-2.2086,-47.0832,Garrafão Do Norte
goianesia do para,PA,-3.9022,-48.9503,Goianésia Do Pará
gurupa,PA,-1.1425,-51.5682,Gurupá
igarape-acu,PA,-1.1348,-47.5573,Igarapé-Açu
igarape-miri,PA,-2.0068,-49.1044,Igarapé-Miri
inhangapi,PA,-1.4644,-47.9485,Inhangapi
ipixuna do para,PA,-3.0108,-48.1525,Ipixuna Do Pará
irituia,PA,-1.7562,-47.4194,Irituia
itaituba,PA,-5.8678,-56.243,Itaituba
itupiranga,PA,-5.2036,-49.857,Itupiranga
jacareacanga,PA,-7.3501,-57.2026,Jacareacanga
jacunda,PA,-4.5983,-49.2341,Jacundá
juruti,PA,-2.3081,-56.0575,Juruti
limoeiro do ajuru,PA,-1.8967,-49.4928,Limoeiro Do Ajuru
mae do rio,PA,-1.9757,-47.5071,Mãe Do Rio
magalhaes barata,PA,-0.8192,-47.6371,Magalhães Barata
maraba,PA,-5.6287,-50.1232,Marabá
maracana,PA,-0.7794,-47.4829,Maracanã
marapanim,PA,-0.7908,-47.7121,Marapanim
marituba,PA,-1.4031,-48.329,Marituba
medicilandia,PA,-3.1847,-53.2531,Medicilândia
melgaco,PA,-1.653,-51.1286,Melgaço
mocajuba,PA,-2.5682,-49.4795,Mocajuba
moju,PA,-2.5406,-49.0281,Moju
mojui dos campos,PA,-3.123,-54.4923,Mojuí Dos Campos
monte alegre,PA,-0.9736,-54.4202,Monte Alegre
muana,PA,-1.2545,-49.3501,Muaná
nova esperanca do piria,PA,-2.4338,-46.9805,Nova Esperança Do Piriá
nova ipixuna,PA,-4.9282,-49.2293,Nova Ipixuna
nova timboteua,PA,-1.1095,-47.3808,Nova Timboteua
novo progresso,PA,-7.7517,-55.4518,Novo Progresso
novo repartimento,PA,-4.6565,-50.4891,Novo Repartimento
obidos,PA,-0.011,-55.7618,Óbidos
oeiras do para,PA,-2.317,-49.8801,Oeiras Do Pará
oriximina,PA,0.4431,-56.979,Oriximiná
ourem,PA,-1.5126,-47.154,Ourém
ourilandia do norte,PA,-7.4946,-51.477,Ourilândia Do Norte
pacaja,PA,-3.6162,-50.5748,Pacajá
palestina do para,PA,-5.9364,-48.3469,Palestina Do Pará
paragominas,PA,-3.1636,-47.6523,Paragominas
parauapebas,PA,-6.1667,-50.5191,Parauapebas
pau d'arco,PA,-7.7128,-50.1592,Pau D'arco
peixe-boi,PA,-1.1051,-47.2715,Peixe-Boi
picarra,PA,-6.4689,-48.9682,Piçarra
placas,PA,-3.9859,-54.5438,Placas
ponta de pedras,PA,-1.0377,-49.1582,Ponta De Pedras
portel,PA,-2.6832,-50.8413,Portel
porto de moz,PA,-2.2083,-52.488,Porto De Moz
prainha,PA,-1.977,-53.6057,Prainha
primavera,PA,-0.9554,-47.1028,Primavera
quatipuru,PA,-0.8274,-46.9999,Quatipuru
redencao,PA,-8.0528,-50.2465,Redenção
rio maria,PA,-7.4068,-49.8251,Rio Maria
rondon do para,PA,-4.5357,-48.5758,Rondon Do Pará
ruropolis,PA,-4.1939,-55.2061,Rurópolis
salinopolis,PA,-0.6788,-47.3548,Salinópolis
salvaterra,PA,-0.7723,-48.6279,Salvaterra
santa barbara do para,PA,-1.1845,-48.2502,Santa Bárbara Do Pará
santa cruz do arari,PA,-0.6132,-49.2874,Santa Cruz Do Arari
santa izabel do para,PA,-1.3543,-48.1266,Santa Izabel Do Pará
santa luzia do para,PA,-1.6681,-46.9413,Santa Luzia Do Pará
santa maria das barreiras,PA,-8.587,-50.3964,Santa Maria Das Barreiras
santa maria do para,PA,-1.3477,-47.5028,Santa Maria Do Pará
santana do araguaia,PA,-9.1471,-50.7003,Santana Do Araguaia
santarem,PA,-2.5965,-54.7783,Santarém
santarem novo,PA,-0.8977,-47.3573,Santarém Novo
santo antonio do taua,PA,-1.0865,-48.2201,Santo Antônio Do Tauá
sao caetano de odivelas,PA,-0.7798,-48.0115,São Caetano De Odivelas
sao domingos do araguaia,PA,-5.7005,-48.714,São Domingos Do Araguaia
sao domingos do capim,PA,-1.8859,-47.8043,São Domingos Do Capim
sao felix do xingu,PA,-7.1965,-52.2647,São Félix Do Xingu
sao francisco do para,PA,-1.1748,-47.7453,São Francisco Do Pará
sao geraldo do araguaia,PA,-6.2032,-48.7198,São Geraldo Do Araguaia
sao joao da ponta,PA,-0.8515,-47.9733,São João Da Ponta
sao joao de pirabas,PA,-0.7539,-47.1924,São João De Pirabas
sao joao do araguaia,PA,-5.4335,-48.73,São João Do Araguaia
sao miguel do guama,PA,-1.5695,-47.5632,São Miguel Do Guamá
sao sebastiao da boa vista,PA,-1.3844,-49.6873,São Sebastião Da Boa Vista
sapucaia,PA,-6.8291,-49.5182,Sapucaia
senador jose porfirio,PA,-3.9621,-51.7616,Senador José Porfírio
soure,PA,-0.4499,-48.6529,Soure
tailandia,PA,-2.8413,-48.7258,Tailândia
terra alta,PA,-0.9766,-47.8514,Terra Alta
terra santa,PA,-1.9334,-56.4664,Terra Santa
tome-acu,PA,-2.6023,-48.2373,Tomé-Açu
tracuateua,PA,-1.0117,-46.9479,Tracuateua
trairao,PA,-5.1753,-55.9719,Trairão
tucuma,PA,-6.8451,-51.4677,Tucumã
tucurui,PA,-3.8421,-49.8933,Tucuruí
ulianopolis,PA,-3.8001,-47.4624,Ulianópolis
uruara,PA,-3.6329,-53.7979,Uruará
vigia,PA,-0.9303,-48.1279,Vigia
viseu,PA,-1.3611,-46.3312,Viseu
vitoria do xingu,PA,-3.1634,-51.948,Vitória Do Xingu
xinguara,PA,-6.8389,-49.477,Xinguara
serra do navio,AP,1.5853,-52.2499,Serra Do Navio
amapa,AP,1.8702,-50.7902,Amapá
pedra branca do amapari,AP,1.1744,-52.4462,Pedra Branca Do Amapari
calcoene,AP,2.4376,-51.4151,Calçoene
cutias,AP,1.0373,-50.5015,Cutias
ferreira gomes,AP,0.9188,-51.4077,Ferreira Gomes
itaubal,AP,0.5629,-50.6865,Itaubal
laranjal do jari,AP,0.9979,-53.3018,Laranjal Do Jari
macapa,AP,0.5847,-50.7634,Macapá
mazagao,AP,-0.0296,-52.1234,Mazagão
oiapoque,AP,2.796,-52.0855,Oiapoque
porto grande,AP,0.5884,-51.7247,Porto Grande
pracuuba,AP,1.666,-51.2336,Pracuúba
santana,AP,0.1426,-51.3457,Santana
tartarugalzinho,AP,1.2241,-51.0568,Tartarugalzinho
vitoria do jari,AP,-0.9687,-52.0013,Vitória Do Jari
abreulandia,TO,-9.4315,-49.3475,Abreulândia
aguiarnopolis,TO,-6.4737,-47.5104,Aguiarnópolis
alianca do tocantins,TO,-11.3168,-48.8926,Aliança Do Tocantins
almas,TO,-11.3939,-47.1785,Almas
alvorada,TO,-12.3971,-49.0961,Alvorada
ananas,TO,-6.1575,-48.2042,Ananás
angico,TO,-6.4067,-47.9181,Angico
aparecida do rio negro,TO,-10.011,-47.9847,Aparecida Do Rio Negro
aragominas,TO,-6.9864,-48.5769,Aragominas
araguacema,TO,-8.966,-49.4797,Araguacema
araguacu,TO,-12.6808,-49.7144,Araguaçu
araguaina,TO,-7.3082,-48.5274,Araguaína
araguana,TO,-6.7775,-48.5197,Araguanã
araguatins,TO,-5.6546,-48.1088,Araguatins
arapoema,TO,-7.7293,-49.0124,Arapoema
arraias,TO,-12.8567,-47.1465,Arraias
augustinopolis,TO,-5.5111,-47.9132,Augustinópolis
aurora do tocantins,TO,-12.6416,-46.4191,Aurora Do Tocantins
axixa do tocantins,TO,-5.6688,-47.7507,Axixá Do Tocantins
babaculandia,TO,-7.1808,-47.8247,Babaçulândia
bandeirantes do tocantins,TO,-8.0148,-48.6702,Bandeirantes Do Tocantins
barra do ouro,TO,-7.7239,-47.555,Barra Do Ouro
